TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-16 18:46:13,1771267573582,app.dramacagency.com/api/webhooks/paddle,POST,,200,69jv6-1771267569807-48c27fea7896,Paddle,error,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,app.dramacagency.com,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,,,,,"[ResellerClub] HTTP 500 Internal Server Error from contacts/search.json Body: {""status"":""ERROR"",""message"":""Invalid customer-id: undefined""}",prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-16 18:46:13,1771267573582,app.dramacagency.com/api/webhooks/paddle,POST,,200,69jv6-1771267569807-48c27fea7896,Paddle,info,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,app.dramacagency.com,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,,,,,[ResellerClub] Retrying contacts/search.json after 2000ms (attempt 2/3),prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-16 18:46:09,1771267569807,app.dramacagency.com/api/webhooks/paddle,POST,,200,69jv6-1771267569807-48c27fea7896,Paddle,,production,main,MISS,middleware,/_middleware,app.dramacagency.com,app.dramacagency.com,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,8,iad1,252,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHKWCE4ZQ09YZ342QZV1T1P1,DxGfEMbctmAJ,1
2026-02-16 18:45:56,1771267556934,app.dramacagency.com/dashboard/domains/success,POST,purchase_id=5e99c6c0-9550-4170-90a4-a3c910d03973,200,b7nss-1771267556934-0c3585cdddf9,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,function,/dashboard/domains/success,app.dramacagency.com,dramac-8cqet2gqm-drake-machikos-projects.vercel.app,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,486,iad1,303,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHKWC21EXT2M34QCJ1P1HD4R,vQfqrQckfyPB,1
2026-02-16 18:45:56,1771267556934,app.dramacagency.com/dashboard/domains/success,POST,purchase_id=5e99c6c0-9550-4170-90a4-a3c910d03973,200,b7nss-1771267556934-0c3585cdddf9,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,middleware,/_middleware,app.dramacagency.com,dramac-8cqet2gqm-drake-machikos-projects.vercel.app,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,185,lhr1,283,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHKWC1NB2RA7G19AC6MP328F,3pJncRELGdln,1
2026-02-16 18:45:55,1771267555928,app.dramacagency.com/dashboard/sites/93eabe56-c2c1-4b6a-9ff5-8a739f50990c,POST,tab=modules,200,kgmb2-1771267555928-285671106320,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,middleware,/_middleware,app.dramacagency.com,dramac-8cqet2gqm-drake-machikos-projects.vercel.app,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,381,lhr1,283,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHKWC0NK7ZB1CTGKHD053N03,3pJncRELGdln,1
2026-02-16 18:45:55,1771267555928,app.dramacagency.com/dashboard/sites/93eabe56-c2c1-4b6a-9ff5-8a739f50990c,POST,tab=modules,200,kgmb2-1771267555928-285671106320,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,function,/dashboard/sites/[siteId],app.dramacagency.com,dramac-8cqet2gqm-drake-machikos-projects.vercel.app,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,812,iad1,312,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHKWC17R7CW8KAB3QMSJ779V,vQfqrQckfyPB,1
2026-02-16 18:45:21,1771267521897,app.dramacagency.com/api/webhooks/paddle,POST,,200,krkqb-1771267521629-f321e9c01b16,Paddle,warning,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,app.dramacagency.com,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,,,,,"[Paddle Webhook] Error logging webhook: {
  code: '23505',
  details: 'Key (paddle_event_id)=(evt_01khkwa5prpbap811m2w95nbhz) already exists.',
  hint: null,
  message: 'duplicate key value violates unique constraint ""paddle_webhooks_paddle_event_id_key""'
}",prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-16 18:45:21,1771267521898,app.dramacagency.com/api/webhooks/paddle,POST,,200,krkqb-1771267521629-f321e9c01b16,Paddle,info,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,app.dramacagency.com,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,,,,,[Paddle Webhook] Processing event: transaction.completed,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-16 18:45:21,1771267521898,app.dramacagency.com/api/webhooks/paddle,POST,,200,krkqb-1771267521629-f321e9c01b16,Paddle,info,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,app.dramacagency.com,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,,,,,[Paddle Webhook] Domain/Email purchase completed: txn_01khkw92p7gax2sxd6appszwtz,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
