TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-16 22:52:22,1771282342145,app.dramacagency.com/dashboard/sites/93eabe56-c2c1-4b6a-9ff5-8a739f50990c/live-chat/conversations,POST,nxtPsiteId=93eabe56-c2c1-4b6a-9ff5-8a739f50990c,200,z8ww9-1771282342145-e34c801e65b5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,middleware,/_middleware,app.dramacagency.com,dramac-6qwe6x6p0-drake-machikos-projects.vercel.app,dpl_5ix2MMfW7xWC8tTonD5kbe3biFkE,96,lhr1,285,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHMAF8AN7RK2D17969GGRG8W,ScfcmsKEgboa,1
2026-02-16 22:52:22,1771282342145,app.dramacagency.com/dashboard/sites/93eabe56-c2c1-4b6a-9ff5-8a739f50990c/live-chat/conversations,POST,nxtPsiteId=93eabe56-c2c1-4b6a-9ff5-8a739f50990c,200,z8ww9-1771282342145-e34c801e65b5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,function,/dashboard/sites/[siteId]/live-chat/conversations,app.dramacagency.com,dramac-6qwe6x6p0-drake-machikos-projects.vercel.app,dpl_5ix2MMfW7xWC8tTonD5kbe3biFkE,441,iad1,307,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHMAF8MCJVXX071NFSWJ83XR,IaPMgYssX8Fp,1
2026-02-16 22:52:12,1771282332873,app.dramacagency.com/dashboard/domains/cart,POST,,200,6wb59-1771282332873-e84c8cbbeacb,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,middleware,/_middleware,app.dramacagency.com,dramac-6qwe6x6p0-drake-machikos-projects.vercel.app,dpl_5ix2MMfW7xWC8tTonD5kbe3biFkE,106,lhr1,284,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHMAEZ9BTJB88BMJCS419TNR,ScfcmsKEgboa,1
2026-02-16 22:52:12,1771282332873,app.dramacagency.com/dashboard/domains/cart,POST,,200,6wb59-1771282332873-e84c8cbbeacb,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,function,/dashboard/domains/cart,app.dramacagency.com,dramac-6qwe6x6p0-drake-machikos-projects.vercel.app,dpl_5ix2MMfW7xWC8tTonD5kbe3biFkE,465,iad1,306,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHMAEZJV1GEX51XSRZEVDDEZ,IaPMgYssX8Fp,1
2026-02-16 22:52:12,1771282332661,app.dramacagency.com/dashboard/domains/cart,POST,,200,z8ww9-1771282323653-49bf3341feeb,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",error,production,main,MISS,function,/dashboard/domains/cart,app.dramacagency.com,app.dramacagency.com,dpl_5ix2MMfW7xWC8tTonD5kbe3biFkE,,,,,"[Paddle] PRE-FLIGHT BLOCK: RC balance ($24.02) insufficient for dramac.io (needs $55.49, shortfall: $31.47)",prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-16 22:52:12,1771282332662,app.dramacagency.com/dashboard/domains/cart,POST,,200,z8ww9-1771282323653-49bf3341feeb,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",error,production,main,MISS,function,/dashboard/domains/cart,app.dramacagency.com,app.dramacagency.com,dpl_5ix2MMfW7xWC8tTonD5kbe3biFkE,,,,,"[Paddle] Failed to create domain purchase: Error: Unable to process this domain order at the moment. Please try again later or contact support. (Code: INSUFFICIENT_RESELLER_BALANCE)
    at d5 (.next/server/chunks/ssr/next-platform-dashboard_src_lib_paddle_transactions_ts_83e75992._.js:1:90193)
    at async r (.next/server/chunks/ssr/next-platform-dashboard_src_lib_actions_domains_ts_36a9b10b._.js:1:9982)
    at async m (.next/server/chunks/ssr/next-platform-dashboard_f9a3ef7b._.js:1:8816)
    at async p (.next/server/chunks/ssr/next-platform-dashboard_f9a3ef7b._.js:2:2712)",prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-16 22:52:12,1771282332663,app.dramacagency.com/dashboard/domains/cart,POST,,200,z8ww9-1771282323653-49bf3341feeb,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",error,production,main,MISS,function,/dashboard/domains/cart,app.dramacagency.com,app.dramacagency.com,dpl_5ix2MMfW7xWC8tTonD5kbe3biFkE,,,,,"[Domains] Cart checkout error: Error: Unable to process this domain order at the moment. Please try again later or contact support. (Code: INSUFFICIENT_RESELLER_BALANCE)
    at d5 (.next/server/chunks/ssr/next-platform-dashboard_src_lib_paddle_transactions_ts_83e75992._.js:1:90193)
    at async r (.next/server/chunks/ssr/next-platform-dashboard_src_lib_actions_domains_ts_36a9b10b._.js:1:9982)
    at async m (.next/server/chunks/ssr/next-platform-dashboard_f9a3ef7b._.js:1:8816)
    at async p (.next/server/chunks/ssr/next-platform-dashboard_f9a3ef7b._.js:2:2712)",prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-16 22:52:03,1771282323653,app.dramacagency.com/dashboard/domains/cart,POST,,200,z8ww9-1771282323653-49bf3341feeb,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,middleware,/_middleware,app.dramacagency.com,app.dramacagency.com,dpl_5ix2MMfW7xWC8tTonD5kbe3biFkE,118,lhr1,284,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHMAEP9CJ8QN1B1BY1PGM25Z,ScfcmsKEgboa,1
2026-02-16 22:52:03,1771282323653,app.dramacagency.com/dashboard/domains/cart,POST,,200,z8ww9-1771282323653-49bf3341feeb,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,function,/dashboard/domains/cart,app.dramacagency.com,app.dramacagency.com,dpl_5ix2MMfW7xWC8tTonD5kbe3biFkE,8572,iad1,306,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHMAEPKC0VTBKMJ4B4TZJTM6,IaPMgYssX8Fp,1
2026-02-16 22:51:55,1771282315067,app.dramacagency.com/dashboard/domains/cart,POST,,200,6wb59-1771282305324-29ce2b6e0809,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",error,production,main,MISS,function,/dashboard/domains/cart,app.dramacagency.com,dramac-6qwe6x6p0-drake-machikos-projects.vercel.app,dpl_5ix2MMfW7xWC8tTonD5kbe3biFkE,,,,,"[Paddle] PRE-FLIGHT BLOCK: RC balance ($24.02) insufficient for dramac.io (needs $55.49, shortfall: $31.47)",prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
