TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-17 16:34:23,1771346063358,app.dramacagency.com/dashboard/sites/93eabe56-c2c1-4b6a-9ff5-8a739f50990c/live-chat/conversations,POST,nxtPsiteId=93eabe56-c2c1-4b6a-9ff5-8a739f50990c,200,zdqcg-1771346063358-242e5334f7a6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,function,/dashboard/sites/[siteId]/live-chat/conversations,app.dramacagency.com,dramac-a5hc1l1jb-drake-machikos-projects.vercel.app,dpl_9sYBw6RZvedgT258r4NQrrVqyz6L,481,iad1,320,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHP77WE6XZ8310KDSYQVY78P,aNQJHL8AfWQQ,1
2026-02-17 16:34:23,1771346063358,app.dramacagency.com/dashboard/sites/93eabe56-c2c1-4b6a-9ff5-8a739f50990c/live-chat/conversations,POST,nxtPsiteId=93eabe56-c2c1-4b6a-9ff5-8a739f50990c,200,zdqcg-1771346063358-242e5334f7a6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,middleware,/_middleware,app.dramacagency.com,dramac-a5hc1l1jb-drake-machikos-projects.vercel.app,dpl_9sYBw6RZvedgT258r4NQrrVqyz6L,134,lhr1,276,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHP77W3DDVTNGF6VC7NC87Z1,TDLvehJGr9A0,1
2026-02-17 16:34:11,1771346051561,app.dramacagency.com/api/webhooks/paddle,POST,,200,ntrq8-1771346051270-6eab7af43cf7,Paddle,warning,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,dramac-a5hc1l1jb-drake-machikos-projects.vercel.app,dpl_9sYBw6RZvedgT258r4NQrrVqyz6L,,,,,"[Paddle Webhook] Error logging webhook: {
  code: '23505',
  details: 'Key (paddle_event_id)=(evt_01khp7596nmx7yrxzbc5kg8kja) already exists.',
  hint: null,
  message: 'duplicate key value violates unique constraint ""paddle_webhooks_paddle_event_id_key""'
}",prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-17 16:34:11,1771346051561,app.dramacagency.com/api/webhooks/paddle,POST,,200,ntrq8-1771346051270-6eab7af43cf7,Paddle,info,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,dramac-a5hc1l1jb-drake-machikos-projects.vercel.app,dpl_9sYBw6RZvedgT258r4NQrrVqyz6L,,,,,[Paddle Webhook] Processing event: transaction.completed,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-17 16:34:11,1771346051561,app.dramacagency.com/api/webhooks/paddle,POST,,200,ntrq8-1771346051270-6eab7af43cf7,Paddle,info,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,dramac-a5hc1l1jb-drake-machikos-projects.vercel.app,dpl_9sYBw6RZvedgT258r4NQrrVqyz6L,,,,,[Paddle Webhook] Domain/Email purchase completed: txn_01khp741zwrytkwadmfpvr3qsq,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-17 16:34:12,1771346052160,app.dramacagency.com/api/webhooks/paddle,POST,,200,ntrq8-1771346051270-6eab7af43cf7,Paddle,info,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,dramac-a5hc1l1jb-drake-machikos-projects.vercel.app,dpl_9sYBw6RZvedgT258r4NQrrVqyz6L,,,,,"[Provisioning] ensureResellerClubCustomerForProvisioning called for agency=c86c7c61-97f8-428a-839a-22f7a03ef86d, user=e9270737-2278-4693-8cbf-b84a44ea736e",prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-17 16:34:12,1771346052296,app.dramacagency.com/api/webhooks/paddle,POST,,200,ntrq8-1771346051270-6eab7af43cf7,Paddle,info,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,dramac-a5hc1l1jb-drake-machikos-projects.vercel.app,dpl_9sYBw6RZvedgT258r4NQrrVqyz6L,,,,,[Provisioning] Agency already has RC customer: 32990885,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-17 16:34:15,1771346055878,app.dramacagency.com/api/webhooks/paddle,POST,,200,ntrq8-1771346051270-6eab7af43cf7,Paddle,error,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,dramac-a5hc1l1jb-drake-machikos-projects.vercel.app,dpl_9sYBw6RZvedgT258r4NQrrVqyz6L,,,,,"[ResellerClub] HTTP 500 Internal Server Error from domains/register.json Body: {""status"":""ERROR"",""message"":""Invalid reg-contact-id: undefined""}",prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-17 16:34:15,1771346055878,app.dramacagency.com/api/webhooks/paddle,POST,,200,ntrq8-1771346051270-6eab7af43cf7,Paddle,info,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,dramac-a5hc1l1jb-drake-machikos-projects.vercel.app,dpl_9sYBw6RZvedgT258r4NQrrVqyz6L,,,,,[ResellerClub] Retrying domains/register.json after 1000ms (attempt 1/3),prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-17 16:34:17,1771346057420,app.dramacagency.com/api/webhooks/paddle,POST,,200,ntrq8-1771346051270-6eab7af43cf7,Paddle,error,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,dramac-a5hc1l1jb-drake-machikos-projects.vercel.app,dpl_9sYBw6RZvedgT258r4NQrrVqyz6L,,,,,"[ResellerClub] HTTP 500 Internal Server Error from domains/register.json Body: {""status"":""ERROR"",""message"":""Invalid reg-contact-id: undefined""}",prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
